study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJNA641393	SAMN15352005	SRX8603247	SRR12075865	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/065/SRR12075865/SRR12075865.fastq.gz		
PRJNA641393	SAMN15352041	SRX8603248	SRR12075866	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/066/SRR12075866/SRR12075866.fastq.gz		
PRJNA641393	SAMN15352040	SRX8603249	SRR12075867	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/067/SRR12075867/SRR12075867.fastq.gz		
PRJNA641393	SAMN15352039	SRX8603250	SRR12075868	9593	Gorilla gorilla	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/068/SRR12075868/SRR12075868.fastq.gz		
PRJNA641393	SAMN15352038	SRX8603251	SRR12075869	9593	Gorilla gorilla	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/069/SRR12075869/SRR12075869.fastq.gz		
PRJNA641393	SAMN15352037	SRX8603252	SRR12075870	9593	Gorilla gorilla	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/070/SRR12075870/SRR12075870.fastq.gz		
PRJNA641393	SAMN15352036	SRX8603253	SRR12075871	9593	Gorilla gorilla	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/071/SRR12075871/SRR12075871.fastq.gz		
PRJNA641393	SAMN15352035	SRX8603254	SRR12075872	9593	Gorilla gorilla	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/072/SRR12075872/SRR12075872.fastq.gz		
PRJNA641393	SAMN15352034	SRX8603255	SRR12075873	9593	Gorilla gorilla	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/073/SRR12075873/SRR12075873.fastq.gz		
PRJNA641393	SAMN15352033	SRX8603256	SRR12075874	9593	Gorilla gorilla	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/074/SRR12075874/SRR12075874.fastq.gz		
PRJNA641393	SAMN15352032	SRX8603257	SRR12075875	9593	Gorilla gorilla	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/075/SRR12075875/SRR12075875.fastq.gz		
PRJNA641393	SAMN15352031	SRX8603258	SRR12075876	9593	Gorilla gorilla	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/076/SRR12075876/SRR12075876.fastq.gz		
PRJNA641393	SAMN15352030	SRX8603259	SRR12075877	9593	Gorilla gorilla	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/077/SRR12075877/SRR12075877.fastq.gz		
PRJNA641393	SAMN15352029	SRX8603260	SRR12075878	9593	Gorilla gorilla	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/078/SRR12075878/SRR12075878.fastq.gz		
PRJNA641393	SAMN15352028	SRX8603261	SRR12075879	9593	Gorilla gorilla	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/079/SRR12075879/SRR12075879.fastq.gz		
PRJNA641393	SAMN15352027	SRX8603262	SRR12075880	9593	Gorilla gorilla	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/080/SRR12075880/SRR12075880.fastq.gz		
PRJNA641393	SAMN15352026	SRX8603263	SRR12075881	9593	Gorilla gorilla	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/081/SRR12075881/SRR12075881.fastq.gz		
PRJNA641393	SAMN15352025	SRX8603264	SRR12075882	9593	Gorilla gorilla	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/082/SRR12075882/SRR12075882.fastq.gz		
PRJNA641393	SAMN15352024	SRX8603265	SRR12075883	9593	Gorilla gorilla	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/083/SRR12075883/SRR12075883.fastq.gz		
PRJNA641393	SAMN15352046	SRX8603266	SRR12075884	9593	Gorilla gorilla	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/084/SRR12075884/SRR12075884.fastq.gz		
PRJNA641393	SAMN15352045	SRX8603267	SRR12075885	9593	Gorilla gorilla	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/085/SRR12075885/SRR12075885.fastq.gz		
PRJNA641393	SAMN15352044	SRX8603268	SRR12075886	9593	Gorilla gorilla	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/086/SRR12075886/SRR12075886.fastq.gz		
PRJNA641393	SAMN15352043	SRX8603269	SRR12075887	9593	Gorilla gorilla	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/087/SRR12075887/SRR12075887.fastq.gz		
PRJNA641393	SAMN15352042	SRX8603270	SRR12075888	9593	Gorilla gorilla	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/088/SRR12075888/SRR12075888.fastq.gz
