Geneid	Genesymbol
ENSG00000226415.1	TPI1P1
ENSG00000226084.5	RPL17P6
ENSG00000289212.1	ENSG00000289212
ENSG00000287870.1	ENSG00000287870
ENSG00000180488.17	MIGA1
ENSG00000219201.4	ENSG00000219201
ENSG00000229752.1	RPL7P10
ENSG00000227288.3	ARID3BP1
ENSG00000137941.17	TTLL7
ENSG00000117151.13	CTBS
ENSG00000171502.15	COL24A1
ENSG00000225568.1	ENSG00000225568
ENSG00000234518.2	PTGES3P1
ENSG00000228175.3	GEMIN8P4
ENSG00000232882.1	PHKA1P1
ENSG00000232393.1	RPL5P6
ENSG00000162669.16	HFM1
ENSG00000223745.8	CCDC18-AS1
ENSG00000271092.5	TLCD4-RWDD3
ENSG00000122481.17	RWDD3
ENSG00000228852.6	ENSG00000228852
ENSG00000137970.7	RPL7P9
ENSG00000162627.17	SNX7
ENSG00000117600.14	PLPPR4
ENSG00000156869.14	FRRS1
ENSG00000233184.9	DPH5-DT
ENSG00000170989.10	S1PR1
ENSG00000173810.9	PPIAP7
ENSG00000226715.4	LINC01709
ENSG00000183298.5	RPSAP19
ENSG00000227850.1	SEPTIN2P1
ENSG00000134215.16	VAV3
ENSG00000162636.16	EEIG2
ENSG00000244716.3	RPL17P7
ENSG00000143106.13	PSMA5
ENSG00000174151.15	CYB561D1
ENSG00000213366.13	GSTM2
ENSG00000134184.13	GSTM1
ENSG00000260246.1	ENSG00000260246
ENSG00000241720.2	ENSG00000241720
ENSG00000134202.12	GSTM3
ENSG00000198799.12	LRIG2
ENSG00000237278.2	RLIMP2
ENSG00000116774.12	OLFML3
ENSG00000134207.17	SYT6
ENSG00000228217.1	PNRC2P1
ENSG00000231365.7	WARS2-AS1
ENSG00000286106.3	NOTCH2NLR
ENSG00000273136.9	NBPF26
ENSG00000263353.4	PPIAL4A
ENSG00000281741.2	ENSG00000281741
ENSG00000226067.7	LINC00623
ENSG00000188610.12	FAM72B
ENSG00000171943.12	SRGAP2C
ENSG00000230806.1	SRGAP2-AS1
ENSG00000227082.3	LINC02798
ENSG00000272583.2	ENSG00000272583
ENSG00000291141.1	EMBP1
ENSG00000263513.6	FAM72C
ENSG00000289318.2	ENSG00000289318
ENSG00000270872.2	SRGAP2D
ENSG00000227212.3	PFN1P6
ENSG00000277918.1	RNVU1-28
ENSG00000196369.12	SRGAP2B
ENSG00000215784.6	FAM72D
ENSG00000283752.1	ENSG00000283752
ENSG00000290867.1	LINC01145
ENSG00000277678.1	RNU1-153P
ENSG00000281571.2	ENSG00000281571
ENSG00000223612.3	ENSG00000223612
ENSG00000234367.1	PFN1P3
ENSG00000186141.10	POLR3C
ENSG00000198483.13	ANKRD35
ENSG00000265972.6	TXNIP
ENSG00000287978.1	ENSG00000287978
ENSG00000268043.9	NBPF12
ENSG00000180867.12	PDIA3P1
ENSG00000188092.15	GPR89B
ENSG00000290705.1	ENSG00000290705
ENSG00000215859.10	PDZK1P1
ENSG00000206585.1	RNVU1-7
ENSG00000263956.8	NBPF11
ENSG00000225080.1	PFN1P4
ENSG00000198658.4	ABHD17AP1
ENSG00000274020.5	LINC01138
ENSG00000291232.1	ENSG00000291232
ENSG00000231551.9	PDE4DIPP6
ENSG00000280649.2	ENSG00000280649
ENSG00000274210.1	RNVU1-27
ENSG00000270629.7	NBPF14
ENSG00000286019.2	NOTCH2NLB
ENSG00000177144.8	NUDT4B
ENSG00000269713.9	NBPF9
ENSG00000274265.5	ENSG00000274265
ENSG00000289614.2	ENSG00000289614
ENSG00000274423.1	SEC22B2P
ENSG00000286219.2	NOTCH2NLC
ENSG00000286185.1	ENSG00000286185
ENSG00000271383.9	NBPF19
ENSG00000288867.1	PPIAL4C
ENSG00000291158.1	LINC00869
ENSG00000284964.1	ENSG00000284964
ENSG00000275557.1	ENSG00000275557
ENSG00000203814.7	H2BC18
ENSG00000183598.4	H3C13
ENSG00000159164.10	SV2A
ENSG00000285184.5	ENSG00000285184
ENSG00000136631.16	VPS45
ENSG00000118292.9	C1orf54
ENSG00000159208.16	CIART
ENSG00000143418.20	CERS2
ENSG00000143458.12	GABPB2
ENSG00000289288.2	ENSG00000289288
ENSG00000143416.21	SELENBP1
ENSG00000182134.17	TDRKH
ENSG00000189171.15	S100A13
ENSG00000271853.5	ENSG00000271853
ENSG00000160678.12	S100A1
ENSG00000143624.14	INTS3
ENSG00000143612.21	C1orf43
ENSG00000226855.1	RPSAP17
ENSG00000160716.6	CHRNB2
ENSG00000287064.1	ENSG00000287064
ENSG00000289103.2	ENSG00000289103
ENSG00000169242.12	EFNA1
ENSG00000231064.9	THBS3-AS1
ENSG00000169231.13	THBS3
ENSG00000291137.1	GBA1LP
ENSG00000160766.17	GBA1LP
ENSG00000236675.1	MTX1LP
ENSG00000177628.16	GBA1
ENSG00000132676.16	DAP3
ENSG00000160781.17	PAQR6
ENSG00000198715.13	GLMP
ENSG00000223356.1	ENSG00000223356
ENSG00000143303.12	METTL25B
ENSG00000163568.16	AIM2
ENSG00000158710.15	TAGLN2
ENSG00000224261.2	RPSAP18
ENSG00000288670.1	ENSG00000288670
ENSG00000215840.3	ENSG00000215840
ENSG00000293173.1	RPL31P11
ENSG00000213075.8	RPL31P11
ENSG00000232995.7	ENSG00000232995
ENSG00000143171.13	RXRG
ENSG00000143162.9	CREG1
ENSG00000213064.10	SFT2D2
ENSG00000010165.20	METTL13
ENSG00000203739.6	PRDX6-AS1
ENSG00000117592.9	PRDX6
ENSG00000183831.7	ANKRD45
ENSG00000076321.11	KLHL20
ENSG00000225591.2	RPS27P7
ENSG00000234741.10	GAS5
ENSG00000270084.2	GAS5-AS1
ENSG00000235750.10	KIAA0040
ENSG00000230777.1	RPS29P5
ENSG00000260360.2	ENSG00000260360
ENSG00000121454.6	LHX4
ENSG00000231684.3	EIF1P3
ENSG00000224468.3	LAMC1-AS1
ENSG00000229739.4	PDC-AS1
ENSG00000231767.5	RPS27AP5
ENSG00000283795.1	MIR4426
ENSG00000116741.8	RGS2
ENSG00000236468.1	EEF1A1P44
ENSG00000176393.11	RNPEP
ENSG00000236439.4	RPS27P8
ENSG00000228288.9	PCAT6
ENSG00000159348.13	CYB5R1
ENSG00000143847.16	PPFIA4
ENSG00000122180.5	MYOG
ENSG00000188783.6	PRELP
ENSG00000236035.2	NSA2P1
ENSG00000117266.16	CDK18
ENSG00000117280.13	RAB29
ENSG00000133065.11	SLC41A1
ENSG00000226945.1	RPL13AP8
ENSG00000054392.13	HHAT
ENSG00000153363.15	LINC00467
ENSG00000238137.2	ARPC3P2
ENSG00000220749.4	RPL21P28
ENSG00000203705.11	TATDN3
ENSG00000143499.14	SMYD2
ENSG00000162814.11	SPATA17
ENSG00000277007.1	ENSG00000277007
ENSG00000215817.9	ZC3H11B
ENSG00000218283.2	MORF4L1P1
ENSG00000276997.4	ENSG00000276997
ENSG00000291068.1	ENSG00000291068
ENSG00000196187.12	TMEM63A
ENSG00000224834.1	BTF3P9
ENSG00000215812.5	ZNF847P
ENSG00000143761.17	ARF1
ENSG00000162931.12	TRIM17
ENSG00000201321.1	RNA5S9
ENSG00000183929.7	DUSP5P1
ENSG00000182118.8	FAM89A
ENSG00000162946.24	DISC1
ENSG00000212916.6	MAP10
ENSG00000135749.20	PCNX2
ENSG00000235605.1	ENSG00000235605
ENSG00000236358.1	ENSG00000236358
ENSG00000059588.10	TARBP1
ENSG00000173726.11	TOMM20
ENSG00000186197.15	EDARADD
ENSG00000228844.1	ENSG00000228844
ENSG00000238085.1	ENSG00000238085
ENSG00000117009.12	KMO
ENSG00000054277.14	OPN3
ENSG00000213026.4	CFL1P4
ENSG00000054282.16	SDCCAG8
ENSG00000235386.1	ENSG00000235386
ENSG00000196418.13	ZNF124
ENSG00000289234.2	ZNF496-DT
ENSG00000035115.22	SH3YL1
ENSG00000171853.16	TRAPPC12
ENSG00000171865.10	RNASEH1
ENSG00000234171.5	RNASEH1-DT
ENSG00000228203.8	GRASLND
ENSG00000229727.7	ENSG00000229727
ENSG00000213772.3	EIF1P7
ENSG00000269973.1	ENSG00000269973
ENSG00000260077.1	ENSG00000260077
ENSG00000272275.1	ENSG00000272275
ENSG00000134324.12	LPIN1
ENSG00000163032.12	VSNL1
ENSG00000213729.3	RPS16P2
ENSG00000118960.13	HS1BP3
ENSG00000118961.15	LDAH
ENSG00000205639.12	MFSD2B
ENSG00000115129.14	TP53I3
ENSG00000186453.13	FAM228A
ENSG00000184924.6	PTRHD1
ENSG00000271936.1	ENSG00000271936
ENSG00000138101.20	DTNB
ENSG00000224220.1	DTNB-AS1
ENSG00000084754.12	HADHA
ENSG00000084764.12	MAPRE3
ENSG00000138030.14	KHK
ENSG00000138028.17	CGREF1
ENSG00000138085.18	ATRAID
ENSG00000115204.15	MPV17
ENSG00000234072.1	GTF3C2-AS2
ENSG00000115216.14	NRBP1
ENSG00000138002.16	IFT172
ENSG00000115226.10	FNDC4
ENSG00000243943.10	ZNF512
ENSG00000171094.18	ALK
ENSG00000013016.16	EHD3
ENSG00000276334.1	ENSG00000276334
ENSG00000187999.4	HNRNPA1P61
ENSG00000260025.2	CRIM1-DT
ENSG00000008869.12	HEATR5B
ENSG00000003509.16	NDUFAF7
ENSG00000163171.8	CDC42EP3
ENSG00000213553.4	RPLP0P6
ENSG00000143891.17	GALM
ENSG00000163214.21	DHX57
ENSG00000227028.6	SLC8A1-AS1
ENSG00000183023.19	SLC8A1
ENSG00000237442.4	HNRNPA1P57
ENSG00000236533.1	RPS12P4
ENSG00000250565.7	ATP6V1E2
ENSG00000068724.18	TTC7A
ENSG00000273269.3	ENSG00000273269
ENSG00000235760.4	MSH2-OT1
ENSG00000233594.2	BTF3P5
ENSG00000233426.3	EIF3FP3
ENSG00000213495.3	RPL26P13
ENSG00000212978.6	C2orf74-DT
ENSG00000228305.2	PRELID1P6
ENSG00000225889.10	ENSG00000225889
ENSG00000293332.1	ENSG00000293332
ENSG00000236259.1	PPIAP64
ENSG00000119865.9	CNRIP1
ENSG00000231414.1	RPL39P15
ENSG00000075340.23	ADD2
ENSG00000228034.1	HMGN2P21
ENSG00000003137.9	CYP26B1
ENSG00000116096.7	SPR
ENSG00000204843.13	DCTN1
ENSG00000115325.14	DOK1
ENSG00000200488.1	RN7SKP203
ENSG00000042445.14	RETSAT
ENSG00000115459.18	ELMOD3
ENSG00000286532.2	PARTICL
ENSG00000168887.11	C2orf68
ENSG00000115561.16	CHMP3
ENSG00000249884.8	RNF103-CHMP3
ENSG00000228363.2	CHMP3-AS1
ENSG00000187627.18	RGPD1
ENSG00000231351.2	WBP1P1
ENSG00000183281.15	PLGLB1
ENSG00000285793.1	ANAPC1P2
ENSG00000231259.5	ANAPC1P2
ENSG00000266931.2	ENSG00000266931
ENSG00000230395.1	ANAPC1P3
ENSG00000204745.4	ENSG00000204745
ENSG00000287763.1	ENSG00000287763
ENSG00000222041.13	CYTOR
ENSG00000284879.1	NCAL1
ENSG00000214354.3	PAFAH1B1P1
ENSG00000225933.1	RPS14P5
ENSG00000234231.4	ANAPC1P4
ENSG00000125551.19	PLGLB2
ENSG00000229604.2	MTATP8P2
ENSG00000290846.1	ENSG00000290846
ENSG00000283196.3	ENSG00000283196
ENSG00000291150.1	LSP1P5
ENSG00000143429.13	LSP1P4
ENSG00000144026.14	ZNF514
ENSG00000186281.13	GPAT2
ENSG00000230747.1	ENSG00000230747
ENSG00000289135.2	ENSG00000289135
ENSG00000279791.1	ENSG00000279791
ENSG00000277701.5	ENSG00000277701
ENSG00000230606.11	APPAT
ENSG00000231635.1	ATP5F1BP1
ENSG00000158411.11	MITD1
ENSG00000235597.3	LINC01102
ENSG00000233639.9	PANTR1
ENSG00000272994.2	C2orf49-DT
ENSG00000115641.19	FHL2
ENSG00000196862.10	RGPD4
ENSG00000237745.1	RPL22P8
ENSG00000235325.1	SRSF3P5
ENSG00000198075.10	SULT1C4
ENSG00000172985.11	SH3RF3
ENSG00000230650.1	ENSG00000230650
ENSG00000216867.2	RPL22P12
ENSG00000236124.1	HMGN2P23
ENSG00000184492.7	FOXD4L1
ENSG00000291134.1	WASH2P
ENSG00000146556.17	WASH2P
ENSG00000236397.3	DDX11L2
ENSG00000279267.1	ENSG00000279267
ENSG00000293106.1	ENSG00000293106
ENSG00000240356.7	RPL23AP7
ENSG00000144134.19	RABL2A
ENSG00000144158.4	SNRPA1P1
ENSG00000236255.2	ENSG00000236255
ENSG00000125633.11	CCDC93
ENSG00000279227.2	ENSG00000279227
ENSG00000144120.13	TMEM177
ENSG00000229326.3	RPL17P15
ENSG00000265451.1	CLASP1-AS1
ENSG00000236859.8	NIFK-AS1
ENSG00000213239.3	NPM1P32
ENSG00000136732.16	GYPC
ENSG00000186684.14	CYP27C1
ENSG00000286058.2	ENSG00000286058
ENSG00000180178.12	FAR2P1
ENSG00000231240.1	KLF2P1
ENSG00000248313.1	CYP4F27P
ENSG00000196604.13	POTEF
ENSG00000290707.1	MED15P9
ENSG00000152076.19	CCDC74B
ENSG00000136699.20	SMPD4
ENSG00000152082.15	MZT2B
ENSG00000226915.1	RPL19P4
ENSG00000290599.1	ENSG00000290599
ENSG00000222038.4	POTEJ
ENSG00000188219.16	POTEE
ENSG00000233087.8	RAB6D
ENSG00000163040.15	CCDC74A
ENSG00000213222.3	TOMM40P4
ENSG00000224043.9	CCNT2-AS1
ENSG00000232238.1	RPS29P8
ENSG00000289474.2	ENSG00000289474
ENSG00000182389.20	CACNB4
ENSG00000226383.7	LINC01876
ENSG00000232320.6	MXRA7P1
ENSG00000115271.11	GCA
ENSG00000277998.1	ENSG00000277998
ENSG00000082438.18	COBLL1
ENSG00000144285.24	SCN1A
ENSG00000163093.12	BBS5
ENSG00000128692.8	EIF2S2P4
ENSG00000123600.21	METTL8
ENSG00000224553.1	RPS26P20
ENSG00000091409.17	ITGA6
ENSG00000231735.1	RPS2P18
ENSG00000226131.1	PPIAP66
ENSG00000223960.9	CHROMR
ENSG00000204311.15	PJVK
ENSG00000237298.11	TTN-AS1
ENSG00000155657.29	TTN
ENSG00000270277.1	ENSG00000270277
ENSG00000270574.1	ENSG00000270574
ENSG00000271141.1	ENSG00000271141
ENSG00000115232.14	ITGA4
ENSG00000188452.15	CERKL
ENSG00000188738.16	FSIP2
ENSG00000003436.16	TFPI
ENSG00000284180.1	MIR3606
ENSG00000204253.4	HNRNPCP2
ENSG00000198130.16	HIBCH
ENSG00000151689.13	INPP1
ENSG00000290089.1	ENSG00000290089
ENSG00000173559.15	NABP1
ENSG00000138411.13	HECW2
ENSG00000065413.20	ANKRD44
ENSG00000138356.14	AOX1
ENSG00000240344.10	PPIL3
ENSG00000225695.1	HNRNPA1P35
ENSG00000273456.2	ENSG00000273456
ENSG00000289294.2	ENSG00000289294
ENSG00000233459.1	ENSG00000233459
ENSG00000118257.17	NRP2
ENSG00000225216.6	NRP2-AS1
ENSG00000114948.13	ADAM23
ENSG00000213082.3	PPP1R14BP2
ENSG00000229127.2	KANSL1L-AS1
ENSG00000144451.20	SPAG16
ENSG00000118242.17	MREG
ENSG00000197756.10	RPL37A
ENSG00000223923.2	TNS1-AS1
ENSG00000261338.2	ENSG00000261338
ENSG00000144579.9	CTDSP1
ENSG00000187736.14	NHEJ1
ENSG00000158552.13	ZFAND2B
ENSG00000163521.16	GLB1L
ENSG00000144589.22	STK11IP
ENSG00000230406.2	RPL23P5
ENSG00000135905.21	DOCK10
ENSG00000144468.17	RHBDD1
ENSG00000236432.8	MFF-DT
ENSG00000168958.21	MFF
ENSG00000237039.1	RPS28P4
ENSG00000284378.1	MIR1244-1
ENSG00000221944.9	TIGD1
ENSG00000237784.1	RPS20P12
ENSG00000163359.17	COL6A3
ENSG00000130414.13	NDUFA10
ENSG00000122085.17	MTERF4
ENSG00000234235.1	BOK-AS1
ENSG00000176720.6	BOK
ENSG00000168395.16	ING5
ENSG00000154252.12	GAL3ST2
ENSG00000224272.2	ENSG00000224272
ENSG00000233806.10	LINC01237
ENSG00000280119.1	ENSG00000280119
ENSG00000184423.5	RPL23AP38
ENSG00000144619.15	CNTN4
ENSG00000170364.13	SETMAR
ENSG00000231249.3	ITPR1-DT
ENSG00000125046.16	SSUH2
ENSG00000196220.17	SRGAP3
ENSG00000134072.11	CAMK1
ENSG00000214021.19	TTLL3
ENSG00000206567.10	ENSG00000206567
ENSG00000254999.4	BRK1
ENSG00000231177.4	LINC00852
ENSG00000157017.16	GHRL
ENSG00000240288.8	GHRLOS
ENSG00000144559.11	TAMM41
ENSG00000157152.17	SYN2
ENSG00000225526.6	MKRN2OS
ENSG00000144713.13	RPL32
ENSG00000207496.1	SNORA7A
ENSG00000163517.15	HDAC11
ENSG00000154781.17	CCDC174
ENSG00000131368.9	MRPS25
ENSG00000169814.18	BTD
ENSG00000263740.2	RN7SL4P
ENSG00000286689.1	ENSG00000286689
ENSG00000114166.8	KAT2B
ENSG00000151789.13	ZNF385D
ENSG00000293339.1	ENSG00000293339
ENSG00000132967.11	HMGB1P5
ENSG00000213872.3	RPL32P11
ENSG00000170275.15	CRTAP
ENSG00000271643.2	PDCD6IP-DT
ENSG00000144681.11	STAC
ENSG00000178567.8	EPM2AIP1
ENSG00000225558.1	UBE2D3P2
ENSG00000230409.3	TCEA1P2
ENSG00000183873.19	SCN5A
ENSG00000228168.1	HNRNPA1P21
ENSG00000172888.12	ZNF621
ENSG00000234287.1	RPS27P4
ENSG00000289558.2	ENSG00000289558
ENSG00000114857.19	NKTR
ENSG00000236459.1	HNRNPA1P22
ENSG00000144647.7	POMGNT2
ENSG00000272121.1	ENSG00000272121
ENSG00000280435.1	ENSG00000280435
ENSG00000261786.1	ENSG00000261786
ENSG00000236869.4	ZKSCAN7-AS1
ENSG00000160796.18	NBEAL2
ENSG00000227398.6	KIF9-AS1
ENSG00000163832.16	ELP6
ENSG00000293229.1	ENSG00000293229
ENSG00000235695.1	HIGD2AP2
ENSG00000164048.14	ZNF589
ENSG00000229759.1	MRPS18AP1
ENSG00000172113.10	NME6
ENSG00000164053.22	ATRIP
ENSG00000225697.13	SLC26A6
ENSG00000284364.1	MIR6824
ENSG00000008300.17	CELSR3
ENSG00000228350.1	LINC02585
ENSG00000213672.8	NCKIPSD
ENSG00000178537.10	SLC25A20
ENSG00000172053.18	QARS1
ENSG00000270441.1	LAMB2P1
ENSG00000283189.2	ENSG00000283189
ENSG00000145020.16	AMT
ENSG00000145029.15	NICN1
ENSG00000164062.13	APEH
ENSG00000173531.16	MST1
ENSG00000164076.17	CAMKV
ENSG00000003756.17	RBM5
ENSG00000114388.14	NPRL2
ENSG00000007402.12	CACNA2D2
ENSG00000271858.5	ENSG00000271858
ENSG00000088543.15	C3orf18
ENSG00000114735.10	HEMK1
ENSG00000114737.16	CISH
ENSG00000114779.20	ABHD14B
ENSG00000023330.15	ALAS1
ENSG00000164088.18	PPM1M
ENSG00000010318.22	PHF7
ENSG00000114904.13	NEK4
ENSG00000163933.10	RFT1
ENSG00000163932.16	PRKCD
ENSG00000056736.10	IL17RB
ENSG00000213509.4	PPIAP16
ENSG00000163686.15	ABHD6
ENSG00000163684.12	RPP14
ENSG00000163638.13	ADAMTS9
ENSG00000241506.1	PSMC1P1
ENSG00000144746.7	ARL6IP5
ENSG00000113805.9	CNTN3
ENSG00000266780.1	MIR4444-2
ENSG00000287398.1	ENSG00000287398
ENSG00000213300.5	HNRNPA3P6
ENSG00000238278.3	ALG1L6P
ENSG00000044524.11	EPHA3
ENSG00000184500.16	PROS1
ENSG00000178700.9	DHFR2
ENSG00000178660.6	ARMC10P1
ENSG00000244048.1	RPS18P6
ENSG00000243547.1	HNRNPKP4
ENSG00000218754.4	RPL18AP8
ENSG00000170854.18	RIOX2
ENSG00000282978.1	BTF3P16
ENSG00000243396.1	RPL32P7
ENSG00000293268.2	ENSG00000293268
ENSG00000243701.8	DUBR
ENSG00000121570.13	DPPA4
ENSG00000244722.1	RPSAP29
ENSG00000242242.7	NECTIN3-AS1
ENSG00000144827.9	ABHD10
ENSG00000114529.13	C3orf52
ENSG00000244144.1	INAVAP1
ENSG00000239482.6	ENSG00000239482
ENSG00000240776.1	RPS10P4
ENSG00000185565.13	LSAMP
ENSG00000198406.7	BZW1P2
ENSG00000113845.10	TIMMDC1
ENSG00000242052.1	RPL10P7
ENSG00000183833.16	CFAP91
ENSG00000285585.1	ENSG00000285585
ENSG00000293512.1	ENSG00000293512
ENSG00000213371.4	NAP1L1P3
ENSG00000145088.9	EAF2
ENSG00000121542.12	SEC22A
ENSG00000065534.20	MYLK
ENSG00000175455.16	CCDC14
ENSG00000114544.17	SLC41A3
ENSG00000074416.16	MGLL
ENSG00000231305.4	IFT122P3
ENSG00000244932.2	IFT122P2
ENSG00000290993.1	ENSG00000290993
ENSG00000251474.8	RPL32P3
ENSG00000203644.3	ENSG00000203644
ENSG00000271270.8	TMCC1-DT
ENSG00000248459.1	RPS17P9
ENSG00000251287.9	ALG1L2
ENSG00000248243.1	LINC02014
ENSG00000291081.1	ENSG00000291081
ENSG00000253540.8	FAM86HP
ENSG00000114686.9	MRPL3
ENSG00000240854.1	PSMC2P1
ENSG00000144868.14	TMEM108
ENSG00000154917.11	RAB6B
ENSG00000214289.3	RPL39P5
ENSG00000168917.9	SLC35G2
ENSG00000158163.15	DZIP1L
ENSG00000158234.13	FAIM
ENSG00000241429.1	EEF1A1P25
ENSG00000248932.8	COPB2-DT
ENSG00000178631.7	ACTG1P1
ENSG00000114125.14	RNF7
ENSG00000240950.1	RPL8P3
ENSG00000244171.4	PBX2P1
