Geneid	Genesymbol
ENSG00000234080.3	ENSG00000234080
ENSG00000284700.2	ENSG00000284700
ENSG00000169213.7	RAB3B
ENSG00000121310.17	ECHDC2
ENSG00000226147.1	TUBBP10
ENSG00000174332.6	GLIS1
ENSG00000162391.12	FAM151A
ENSG00000232453.7	LINC02777
ENSG00000284808.1	ENSG00000284808
ENSG00000271200.1	PATJ-DT
ENSG00000284928.1	ENSG00000284928
ENSG00000229294.1	ENSG00000229294
ENSG00000224570.1	ENSG00000224570
ENSG00000118473.23	SGIP1
ENSG00000152760.10	DYNLT5
ENSG00000228523.1	DNAJB6P4
ENSG00000081985.14	IL12RB2
ENSG00000254685.8	FPGT
ENSG00000137968.17	SLC44A5
ENSG00000230863.4	ENSG00000230863
ENSG00000226415.1	TPI1P1
ENSG00000237552.1	LINC02567
ENSG00000229752.1	RPL7P10
ENSG00000236268.6	LINC01361
ENSG00000162643.13	DNAI3
ENSG00000142871.18	CCN1
ENSG00000236915.3	CLCA4-AS1
ENSG00000267272.5	LINC01140
ENSG00000272931.1	LRRC8D-DT
ENSG00000233593.12	LINC02609
ENSG00000225446.3	LINC01763
ENSG00000285530.1	ENSG00000285530
ENSG00000230287.3	ENSG00000230287
ENSG00000227850.1	SEPTIN2P1
ENSG00000143107.10	FNDC7
ENSG00000244716.3	RPL17P7
ENSG00000156097.13	GPR61
ENSG00000254942.1	ENSG00000254942
ENSG00000273221.1	ENSG00000273221
ENSG00000085465.13	OVGP1
ENSG00000227811.3	INKA2-AS1
ENSG00000283296.1	MIR4256
ENSG00000175984.16	DENND2C
ENSG00000116824.5	CD2
ENSG00000203859.10	HSD3B2
ENSG00000229570.2	GAPDHP58
ENSG00000198857.3	HSD3BP5
ENSG00000215864.6	NBPF7P
ENSG00000213226.4	ENSG00000213226
ENSG00000184678.11	H2BC21
ENSG00000223945.2	RPL6P31
ENSG00000289041.1	ENSG00000289041
ENSG00000232937.1	ENSG00000232937
ENSG00000197747.9	S100A10
ENSG00000189171.15	S100A13
ENSG00000291199.1	ENSG00000291199
ENSG00000163352.6	LENEP
ENSG00000163354.15	DCST2
ENSG00000179085.8	DPM3
ENSG00000291137.1	GBA1LP
ENSG00000235919.5	ASH1L-AS1
ENSG00000196189.14	SEMA4A
ENSG00000160781.17	PAQR6
ENSG00000206651.1	Y_RNA
ENSG00000229953.1	BCAN-AS2
ENSG00000198400.14	NTRK1
ENSG00000211581.1	MIR765
ENSG00000179914.5	ITLN1
ENSG00000186517.14	ARHGAP30
ENSG00000228917.1	NECTIN4-AS1
ENSG00000290115.1	ENSG00000290115
ENSG00000248485.2	PCP4L1
ENSG00000289106.2	ENSG00000289106
ENSG00000283696.1	ENSG00000283696
ENSG00000143226.16	FCGR2A
ENSG00000239887.6	C1orf226
ENSG00000198574.6	SH2D1B
ENSG00000117152.14	RGS4
ENSG00000225755.2	TRNT1P1
ENSG00000225487.2	RPL35AP7
ENSG00000225272.2	RPL21P27
ENSG00000228697.6	ENSG00000228697
ENSG00000231424.3	ENSG00000231424
ENSG00000117501.15	MROH9
ENSG00000283844.1	MIR214
ENSG00000225591.2	RPS27P7
ENSG00000293477.1	CRYZL2P
ENSG00000213057.5	C1orf220
ENSG00000143340.7	FAM163A
ENSG00000270920.1	MCRIP2P2
ENSG00000273129.3	PACERR
ENSG00000162670.11	BRINP3
ENSG00000170128.5	GPR25
ENSG00000232237.5	ASCL5
ENSG00000159166.15	LAD1
ENSG00000163431.14	LMOD1
ENSG00000163435.16	ELF3
ENSG00000143862.8	ARL8A
ENSG00000229120.2	CYCSP4
ENSG00000228288.9	PCAT6
ENSG00000143847.16	PPFIA4
ENSG00000234775.2	ENSG00000234775
ENSG00000231691.2	ENSG00000231691
ENSG00000184144.12	CNTN2
ENSG00000117266.16	CDK18
ENSG00000162877.13	PM20D1
ENSG00000234981.1	RPL7AP20
ENSG00000279946.1	ENSG00000279946
ENSG00000287220.1	ENSG00000287220
ENSG00000287354.1	ENSG00000287354
ENSG00000279333.1	ENSG00000279333
ENSG00000117691.10	NENF
ENSG00000224535.2	LINC02771
ENSG00000260805.3	ENSG00000260805
ENSG00000213033.4	AURKAP1
ENSG00000272645.6	GTF2IP20
ENSG00000225334.3	LINC02813
ENSG00000225518.3	LINC01703
ENSG00000289348.1	ENSG00000289348
ENSG00000286389.2	ENSG00000286389
ENSG00000290037.1	ENSG00000290037
ENSG00000226920.1	ENSG00000226920
ENSG00000135750.15	KCNK1
ENSG00000235605.1	ENSG00000235605
ENSG00000252822.1	Y_RNA
ENSG00000223776.5	LGALS8-AS1
ENSG00000237991.3	RPL35P1
ENSG00000287738.1	ENSG00000287738
ENSG00000289055.2	ENSG00000289055
ENSG00000221953.5	LINC02897
ENSG00000035115.22	SH3YL1
ENSG00000231173.1	ENSG00000231173
ENSG00000235688.3	SNTG2-AS1
ENSG00000172554.12	SNTG2
ENSG00000234423.2	LINC01250
ENSG00000188765.7	TMSB4XP2
ENSG00000224128.1	LINC01248
ENSG00000235092.7	ID2-AS1
ENSG00000286427.1	ENSG00000286427
ENSG00000236289.4	GACAT3
ENSG00000271991.3	TTC32-DT
ENSG00000243847.3	RN7SL610P
ENSG00000218682.1	ENSG00000218682
ENSG00000268412.2	TRMT112P6
ENSG00000157856.12	DRC1
ENSG00000231636.1	AGBL5-AS1
ENSG00000157992.12	KRTCAP3
ENSG00000270528.1	FAM133EP
ENSG00000287658.1	ENSG00000287658
ENSG00000152154.12	TMEM178A
ENSG00000183023.19	SLC8A1
ENSG00000236533.1	RPS12P4
ENSG00000162881.7	OXER1
ENSG00000226491.1	FTOP1
ENSG00000138075.14	ABCG5
ENSG00000289272.1	ENSG00000289272
ENSG00000235937.1	RPL21P30
ENSG00000162994.16	CLHC1
ENSG00000162997.16	PRORSD1P
ENSG00000162927.14	PUS10
ENSG00000289410.2	ENSG00000289410
ENSG00000236148.5	RPL23AP37
ENSG00000233694.6	LINC02579
ENSG00000119865.9	CNRIP1
ENSG00000204923.4	FBXO48
ENSG00000232228.1	RPL36AP16
ENSG00000059728.11	MXD1
ENSG00000231414.1	RPL39P15
ENSG00000289327.2	ENSG00000289327
ENSG00000135636.16	DYSF
ENSG00000287250.1	ENSG00000287250
ENSG00000279070.2	ENSG00000279070
ENSG00000159239.13	ENSG00000159239
ENSG00000286623.1	ENSG00000286623
ENSG00000005448.17	WDR54
ENSG00000179528.16	LBX2
ENSG00000257702.5	LBX2-AS1
ENSG00000115297.11	TLX2
ENSG00000144045.14	DQX1
ENSG00000115317.13	HTRA2
ENSG00000115363.14	EVA1A
ENSG00000162951.11	LRRTM1
ENSG00000231781.1	ENSG00000231781
ENSG00000213399.3	RPS2P17
ENSG00000115459.18	ELMOD3
ENSG00000168887.11	C2orf68
ENSG00000168878.19	SFTPB
ENSG00000204745.4	ENSG00000204745
ENSG00000289370.2	ENSG00000289370
ENSG00000115041.14	KCNIP3
ENSG00000291176.1	ENSG00000291176
ENSG00000274286.2	ADRA2B
ENSG00000238029.1	RALBP1P2
ENSG00000289077.1	ENSG00000289077
ENSG00000272902.2	TBC1D8-AS1
ENSG00000119147.10	ECRG4
ENSG00000235721.1	ENSG00000235721
ENSG00000240350.3	SOCAR
ENSG00000237753.2	SLC20A1-DT
ENSG00000125637.16	PSD4
ENSG00000279227.2	ENSG00000279227
ENSG00000234065.2	MTND4P26
ENSG00000136717.15	BIN1
ENSG00000186684.14	CYP27C1
ENSG00000169994.20	MYO7B
ENSG00000290615.1	RAB6C-AS1
ENSG00000136002.21	ARHGEF4
ENSG00000284479.3	SMIM39
ENSG00000285819.1	ENSG00000285819
ENSG00000173272.16	MZT2A
ENSG00000115850.10	LCT
ENSG00000214070.3	MANEALP1
ENSG00000231890.10	DARS1-AS1
ENSG00000286167.1	ENSG00000286167
ENSG00000182389.20	CACNB4
ENSG00000213194.3	CDK7P1
ENSG00000271320.1	ENSG00000271320
ENSG00000091428.18	RAPGEF4
ENSG00000213963.7	ENSG00000213963
ENSG00000150722.11	PPP1R1C
ENSG00000231646.7	FSIP2-AS1
ENSG00000163012.4	ZSWIM2
ENSG00000213601.3	KRT18P19
ENSG00000138379.5	MSTN
ENSG00000286358.1	ENSG00000286358
ENSG00000119042.18	SATB2
ENSG00000257045.1	ENSG00000257045
ENSG00000225953.5	SATB2-AS1
ENSG00000213938.3	SEPHS1P6
ENSG00000138356.14	AOX1
ENSG00000227946.3	INO80D-AS1
ENSG00000233869.1	RPSAP27
ENSG00000228380.1	MYL6BP1
ENSG00000237194.1	SNAI1P1
ENSG00000235042.1	SMARCAL1-AS1
ENSG00000225062.2	CATIP-AS1
ENSG00000235024.2	CDK5R2-AS1
ENSG00000072182.14	ASIC4
ENSG00000123999.5	INHA
ENSG00000114923.17	SLC4A3
ENSG00000267919.1	ENSG00000267919
ENSG00000288658.2	ENSG00000288658
ENSG00000237732.12	CT75
ENSG00000291155.1	CT75
ENSG00000135917.16	SLC19A3
ENSG00000232023.3	LINC01807
ENSG00000187957.8	DNER
ENSG00000201044.1	RNU6-268P
ENSG00000204128.6	C2orf72
ENSG00000261829.1	ENSG00000261829
ENSG00000289018.2	ENSG00000289018
ENSG00000261096.1	ENSG00000261096
ENSG00000135902.10	CHRND
ENSG00000066248.15	NGEF
ENSG00000288705.1	UGT1A5
ENSG00000235726.7	ENSG00000235726
ENSG00000228499.1	TMSB10P1
ENSG00000132321.17	IQCA1
ENSG00000124835.2	ENSG00000124835
ENSG00000178623.13	GPR35
ENSG00000225521.1	SNED1-AS1
ENSG00000180902.18	D2HGDH
ENSG00000234793.1	ENSG00000234793
ENSG00000233806.10	LINC01237
ENSG00000230398.1	HINT2P1
ENSG00000235831.8	BHLHE40-AS1
ENSG00000134107.5	BHLHE40
ENSG00000196277.17	GRM7
ENSG00000227110.7	LMCD1-AS1
ENSG00000276678.1	ENSG00000276678
ENSG00000157087.20	ATP2B2
ENSG00000132170.24	PPARG
ENSG00000275340.2	FGD5P1
ENSG00000131379.10	C3orf20
ENSG00000270409.2	ENSG00000270409
ENSG00000230807.1	UBA52P4
ENSG00000225548.7	LINC01980
ENSG00000226955.1	POLE4P1
ENSG00000172940.13	SLC22A13
ENSG00000168026.19	TTC21A
ENSG00000232354.8	VIPR1-AS1
ENSG00000225611.3	CCDC13-AS2
ENSG00000273328.5	ENSG00000273328
ENSG00000244357.3	RN7SL145P
ENSG00000173585.18	CCR9
ENSG00000172215.6	CXCR6
ENSG00000288717.1	ENSG00000288717
ENSG00000178038.17	ALS2CL
ENSG00000284672.1	ENSG00000284672
ENSG00000226074.6	PRSS44P
ENSG00000293420.1	ENSG00000293420
ENSG00000271161.2	BOLA2P2
ENSG00000293229.1	ENSG00000293229
ENSG00000114646.10	CSPG5
ENSG00000145040.4	UCN2
ENSG00000233276.9	GPX1
ENSG00000145020.16	AMT
ENSG00000226913.2	BSN-DT
ENSG00000259970.1	ENSG00000259970
ENSG00000185614.7	INKA1
ENSG00000114349.10	GNAT1
ENSG00000186792.17	HYAL3
ENSG00000281358.1	RASSF1-AS1
ENSG00000272104.1	ENSG00000272104
ENSG00000239732.4	TLR9
ENSG00000243224.2	TWF2-DT
ENSG00000279144.1	ENSG00000279144
ENSG00000272202.1	ENSG00000272202
ENSG00000241158.7	ADAMTS9-AS1
ENSG00000270059.1	ENSG00000270059
ENSG00000113805.9	CNTN3
ENSG00000242516.4	LINC00960
ENSG00000227124.11	ZNF717
ENSG00000286329.2	ENSG00000286329
ENSG00000293294.1	MTHFD2P1
ENSG00000181458.10	TMEM45A
ENSG00000239828.9	CCDC54-AS1
ENSG00000114439.19	BBX
ENSG00000163606.11	CD200R1
ENSG00000243795.1	LINC02044
ENSG00000181722.18	ZBTB20
ENSG00000241560.7	ZBTB20-AS1
ENSG00000243014.1	PTMAP8
ENSG00000242052.1	RPL10P7
ENSG00000180353.11	HCLS1
ENSG00000114023.16	FAM162A
ENSG00000163840.10	DTX3L
ENSG00000250174.5	MYLK-AS2
ENSG00000288806.2	ENSG00000288806
ENSG00000280042.1	ENSG00000280042
ENSG00000239978.1	OR7E53P
ENSG00000239432.1	VPS51P6
ENSG00000241288.8	LINC02614
ENSG00000250934.3	ENSG00000250934
ENSG00000251448.2	ENSG00000251448
ENSG00000282975.1	LINC02034
ENSG00000287143.1	ENSG00000287143
ENSG00000179348.13	GATA2
ENSG00000291042.1	ENSG00000291042
ENSG00000242337.8	INHCAP
ENSG00000260633.1	ENSG00000260633
ENSG00000154928.19	EPHB1
ENSG00000158220.14	ESYT3
ENSG00000250433.1	CLSTN2-AS1
ENSG00000114124.3	GRK7
ENSG00000138271.6	GPR87
ENSG00000288787.1	ENSG00000288787
ENSG00000243926.3	TIPARP-AS1
ENSG00000270141.3	TERC
ENSG00000277925.1	Telomerase-vert
ENSG00000184378.3	ACTRT3
ENSG00000270096.1	ENSG00000270096
ENSG00000244039.1	FAM20BP1
ENSG00000231574.7	LINC02015
ENSG00000237978.6	KCNMB2-AS1
ENSG00000285336.1	ENSG00000285336
ENSG00000181449.4	SOX2
ENSG00000221120.1	MIR1224
ENSG00000226652.4	PSMD10P2
ENSG00000198491.3	ENSG00000198491
ENSG00000127252.7	PLAAT1
ENSG00000114315.4	HES1
ENSG00000288979.1	ENSG00000288979
ENSG00000234805.1	FAM151AP1
ENSG00000145113.22	MUC4
ENSG00000228413.1	ARL8BP1
ENSG00000163959.10	SLC51A
ENSG00000163975.14	MELTF
ENSG00000185049.16	NELFA
ENSG00000175920.18	DOK7
ENSG00000253917.4	ENSG00000253917
ENSG00000251580.3	LINC02482
ENSG00000246526.3	LINC02481
ENSG00000125089.18	SH3TC1
ENSG00000170801.10	HTRA3
ENSG00000287117.1	ENSG00000287117
ENSG00000250425.1	OR7E35P
ENSG00000289865.1	ENSG00000289865
ENSG00000137449.17	CPEB2
ENSG00000048342.18	CC2D2A
ENSG00000248608.2	ENSG00000248608
ENSG00000091490.11	SEL1L3
ENSG00000109680.11	TBC1D19
ENSG00000124399.4	NDUFB4P12
ENSG00000282917.4	ENSG00000282917
ENSG00000135605.13	TEC
ENSG00000182223.7	ZAR1
ENSG00000225455.3	TPI1P4
ENSG00000250302.3	LINC01618
ENSG00000286161.1	ENSG00000286161
ENSG00000128045.7	RASL11B
ENSG00000249693.3	SPMAP2L
ENSG00000280285.1	ENSG00000280285
ENSG00000205682.2	ENSG00000205682
ENSG00000206629.1	RNU1-63P
ENSG00000274759.1	RNA5SP527
ENSG00000173597.9	SULT1B1
ENSG00000163735.7	CXCL5
ENSG00000138769.11	CDKL2
ENSG00000138772.13	ANXA3
ENSG00000249960.2	ENSG00000249960
ENSG00000270842.1	ENSG00000270842
ENSG00000145283.8	SLC10A6
ENSG00000152591.15	DSPP
ENSG00000138642.16	HERC6
ENSG00000207524.1	RNU6-33P
ENSG00000287512.1	ENSG00000287512
ENSG00000168772.12	CXXC4
ENSG00000155011.9	DKK2
ENSG00000164093.18	PITX2
ENSG00000220924.4	OSTCP4
ENSG00000241741.1	RPL7AP30
ENSG00000180801.14	ARSJ
ENSG00000250412.1	KLHL2P1
ENSG00000287449.1	ENSG00000287449
ENSG00000273472.2	ENSG00000273472
ENSG00000287555.1	ENSG00000287555
ENSG00000197410.14	DCHS2
ENSG00000256043.5	CTSO
ENSG00000287424.1	ENSG00000287424
ENSG00000272870.4	SAP30-DT
ENSG00000250131.2	AGA-DT
ENSG00000232648.4	ING2-DT
ENSG00000109794.14	FAM149A
ENSG00000153404.15	PLEKHG4B
ENSG00000250786.4	SNHG18
ENSG00000248783.1	ENSG00000248783
ENSG00000251112.2	ENSG00000251112
ENSG00000243744.2	RPL29P13
ENSG00000145569.6	OTULINL
ENSG00000248791.1	ENSG00000248791
ENSG00000286970.1	ENSG00000286970
ENSG00000223361.6	FTH1P10
ENSG00000248286.1	ENSG00000248286
ENSG00000251294.1	ENSG00000251294
ENSG00000248605.5	ENSG00000248605
ENSG00000113100.10	CDH9
ENSG00000113494.17	PRLR
ENSG00000286193.3	CPLANE1-AS1
ENSG00000251880.1	RNU7-75P
ENSG00000250455.1	ENSG00000250455
ENSG00000171522.6	PTGER4
ENSG00000067113.17	PLPP1
ENSG00000279985.1	ENSG00000279985
ENSG00000248846.3	LINC02065
ENSG00000229666.2	MAST4-AS1
ENSG00000226544.4	RPL7P22
ENSG00000251235.3	SNRPCP2
ENSG00000289924.1	ENSG00000289924
ENSG00000250615.1	ENSG00000250615
ENSG00000113319.13	RASGRF2
ENSG00000248112.1	ENSG00000248112
ENSG00000164176.13	EDIL3
ENSG00000250320.7	EDIL3-DT
ENSG00000243806.1	RPL7P18
ENSG00000289260.2	ENSG00000289260
ENSG00000250441.1	ENSG00000250441
ENSG00000250678.1	ENSG00000250678
ENSG00000213661.3	ENSG00000213661
ENSG00000235275.3	KRT18P16
ENSG00000250080.1	ENSG00000250080
ENSG00000290020.1	ENSG00000290020
ENSG00000239642.6	MEIKIN
ENSG00000237714.1	P4HA2-AS1
ENSG00000283782.2	ENSG00000283782
ENSG00000125347.15	IRF1
ENSG00000205089.8	CCNI2
ENSG00000198944.6	SOWAHA
ENSG00000164615.6	CAMLG
ENSG00000270123.4	VTRNA2-1
ENSG00000277524.1	ENSG00000277524
ENSG00000069018.19	TRPC7
ENSG00000248211.1	TRPC7-AS1
ENSG00000293261.1	ENSG00000293261
ENSG00000249689.1	ENSG00000249689
ENSG00000275506.1	H3P25
ENSG00000158458.21	NRG2
ENSG00000120306.11	CYSTM1
ENSG00000250069.1	ENSG00000250069
ENSG00000113108.20	APBB3
ENSG00000278901.1	ENSG00000278901
ENSG00000197479.7	PCDHB11
ENSG00000156453.14	PCDH1
ENSG00000287203.1	ENSG00000287203
ENSG00000285736.1	ENSG00000285736
ENSG00000253618.1	GRPEL2-AS1
ENSG00000145882.11	PCYOX1L
ENSG00000183111.12	ARHGEF37
ENSG00000132915.12	PDE6A
ENSG00000070808.17	CAMK2A
ENSG00000253852.1	ENSG00000253852
ENSG00000260581.1	ENSG00000260581
ENSG00000275765.6	ENSG00000275765
ENSG00000145888.11	GLRA1
ENSG00000251405.3	NIPAL4-DT
ENSG00000253519.1	ENSG00000253519
ENSG00000164463.12	CREBRF
ENSG00000120149.9	MSX2
ENSG00000289731.3	ENSG00000289731
ENSG00000160867.15	FGFR4
ENSG00000169228.14	RAB24
ENSG00000131187.11	F12
ENSG00000170074.21	FAM153A
ENSG00000204677.14	FAM153CP
ENSG00000113262.16	GRM6
ENSG00000087116.17	ADAMTS2
ENSG00000248717.2	LINC02222
ENSG00000137273.6	FOXF2
ENSG00000271361.1	HTATSF1P2
ENSG00000288612.1	ENSG00000288612
ENSG00000168994.14	PXDC1
ENSG00000272248.1	ENSG00000272248
ENSG00000145975.15	FAM217A
ENSG00000217239.3	RPL34P16
ENSG00000124785.9	NRN1
ENSG00000226281.6	ENSG00000226281
ENSG00000205318.5	GCNT2P1
ENSG00000272097.2	TMEM14B-DT
ENSG00000124827.7	GCM2
ENSG00000271888.1	JARID2-DT
ENSG00000007944.15	MYLIP
ENSG00000172201.12	ID4
ENSG00000112293.15	GPLD1
ENSG00000112343.11	TRIM38
ENSG00000277075.3	H2AC8
ENSG00000284688.1	BTN1A1P1
ENSG00000271071.1	ENSG00000271071
ENSG00000291342.1	ENSG00000291342
ENSG00000233822.6	H2BC15
ENSG00000197153.5	H3C12
ENSG00000230521.1	ENSG00000230521
ENSG00000206503.15	HLA-A
ENSG00000204622.12	HLA-J
ENSG00000236475.1	TRIM26BP
ENSG00000243753.8	HLA-L
ENSG00000224936.1	SUCLA2P1
ENSG00000204564.12	C6orf136
ENSG00000214894.7	LINC00243
ENSG00000204531.21	POU5F1
ENSG00000234745.14	HLA-B
ENSG00000204498.11	NFKBIL1
ENSG00000230622.1	UQCRHP1
ENSG00000204421.3	LY6G6C
ENSG00000204410.16	MSH5
ENSG00000255152.8	MSH5-SAPCD1
ENSG00000244255.5	ENSG00000244255
ENSG00000204314.12	PRRT1
ENSG00000285085.1	ENSG00000285085
ENSG00000289559.2	ENSG00000289559
ENSG00000289047.2	ENSG00000289047
ENSG00000204257.15	HLA-DMA
ENSG00000161896.12	IP6K3
ENSG00000124493.14	GRM4
ENSG00000023892.12	DEF6
ENSG00000112039.6	FANCE
ENSG00000112041.13	TULP1
ENSG00000246982.7	BRPF3-AS1
ENSG00000179165.12	PXT1
ENSG00000255587.9	RAB44
ENSG00000124772.12	CPNE5
ENSG00000287891.2	ENSG00000287891
ENSG00000200706.1	ENSG00000200706
ENSG00000124602.11	UNC5CL
ENSG00000137218.10	FRS3
ENSG00000219222.1	RPL12P47
ENSG00000171462.15	DLK2
ENSG00000137221.14	TJAP1
ENSG00000237686.8	SCIRT
ENSG00000124813.23	RUNX2
ENSG00000286811.1	ENSG00000286811
ENSG00000112116.11	IL17F
ENSG00000225791.7	TRAM2-AS1
ENSG00000283352.1	LINC00680-GUSBP4
ENSG00000279289.1	ENSG00000279289
ENSG00000135314.14	KHDC1
ENSG00000231533.2	ENSG00000231533
ENSG00000219547.1	RPL17P25
ENSG00000025039.15	RRAGD
ENSG00000199630.1	Y_RNA
ENSG00000287683.1	ENSG00000287683
ENSG00000289081.1	ENSG00000289081
ENSG00000014123.10	UFL1
ENSG00000260000.3	ENSG00000260000
ENSG00000132429.10	POPDC3
ENSG00000219088.1	ENSG00000219088
ENSG00000135537.17	AFG1L
ENSG00000260273.2	ENSG00000260273
ENSG00000216723.1	NUDT19P3
ENSG00000164465.19	DCBLD1
ENSG00000235535.9	TRDN-AS1
ENSG00000293110.1	ENSG00000293110
ENSG00000146374.14	RSPO3
ENSG00000228495.3	LINC01013
ENSG00000118523.6	CCN2
ENSG00000079931.15	MOXD1
ENSG00000112319.21	EYA4
ENSG00000240056.2	ENSG00000240056
ENSG00000232876.1	ENSG00000232876
ENSG00000233534.3	LINC02524
ENSG00000024862.18	CCDC28A
ENSG00000118508.5	RAB32
ENSG00000196634.3	LUADT1
ENSG00000273997.1	ENSG00000273997
ENSG00000234577.1	SYNE1-AS1
ENSG00000271040.1	TMEM242-DT
ENSG00000112530.13	PACRG
ENSG00000249141.1	ENSG00000249141
ENSG00000026297.17	RNASET2
ENSG00000164488.12	DACT2
ENSG00000112562.20	SMOC2
ENSG00000273230.1	ENSG00000273230
ENSG00000286874.1	ENSG00000286874
ENSG00000230825.3	LINC03016
ENSG00000272328.1	ENSG00000272328
ENSG00000229688.8	CRPPA-AS1
ENSG00000106541.12	AGR2
ENSG00000229937.9	PRPS1L1
ENSG00000236536.2	ENSG00000236536
ENSG00000232553.3	CLK2P1
ENSG00000287096.1	ENSG00000287096
ENSG00000146592.17	CREB5
ENSG00000106066.15	CPVL
ENSG00000106069.26	CHN2
ENSG00000285081.1	ENSG00000285081
ENSG00000211701.2	TRGV1
ENSG00000164556.7	FAM183BP
ENSG00000289269.1	ENSG00000289269
ENSG00000232006.9	ENSG00000232006
ENSG00000270617.1	URGCP-MRPS24
ENSG00000228897.1	ENSG00000228897
ENSG00000227080.2	ENSG00000227080
ENSG00000270948.1	MTDHP1
ENSG00000286342.3	ENSG00000286342
ENSG00000273024.7	INTS4P2
ENSG00000244510.2	ENSG00000244510
ENSG00000009950.16	MLXIPL
ENSG00000176428.6	VPS37D
ENSG00000225969.4	BICDL3P
ENSG00000165171.11	METTL27
ENSG00000238391.1	RNA5SP233
ENSG00000158517.16	NCF1
ENSG00000178809.12	TRIM73
ENSG00000230882.1	ENSG00000230882
ENSG00000228829.2	ENSG00000228829
ENSG00000177679.16	SRRM3
ENSG00000222024.2	ENSG00000222024
ENSG00000254003.1	SRI-AS1
ENSG00000243107.1	ENSG00000243107
ENSG00000278959.1	ENSG00000278959
ENSG00000158560.14	DYNC1I1
ENSG00000166448.15	TMEM130
ENSG00000197093.11	GAL3ST4
ENSG00000066923.19	STAG3
ENSG00000185955.5	SPACDR
ENSG00000205307.12	SAP25
ENSG00000106327.13	TFR2
ENSG00000130427.3	EPO
ENSG00000146839.19	ZAN
ENSG00000087077.14	TRIP6
ENSG00000087085.16	ACHE
ENSG00000106400.12	ZNHIT1
ENSG00000105808.19	RASA4
ENSG00000205236.6	ENSG00000205236
ENSG00000091138.13	SLC26A3
ENSG00000184903.10	IMMP2L
ENSG00000105967.16	TFEC
ENSG00000289578.1	ENSG00000289578
ENSG00000158516.12	CPA2
ENSG00000213261.3	EEF1B2P6
ENSG00000237821.1	ST13P7
ENSG00000198074.10	AKR1B10
ENSG00000227073.1	SDHDP2
ENSG00000234352.9	ENSG00000234352
ENSG00000289438.1	ENSG00000289438
ENSG00000234639.1	ENSG00000234639
ENSG00000260231.2	KDM7A-DT
ENSG00000146955.11	RAB19
ENSG00000127364.4	TAS2R4
ENSG00000127366.5	TAS2R5
ENSG00000257335.8	MGAM
ENSG00000197993.9	KEL
ENSG00000178826.11	TMEM139
ENSG00000188037.14	CLCN1
ENSG00000232533.3	FAM131B-AS2
ENSG00000290786.1	ENSG00000290786
ENSG00000225918.1	RPL7P59
ENSG00000293557.1	ENSG00000293557
ENSG00000181652.20	ATG9B
ENSG00000239911.4	PRKAG2-AS1
ENSG00000261455.1	LINC01003
ENSG00000186480.13	INSIG1
ENSG00000164690.8	SHH
ENSG00000222012.1	ENSG00000222012
ENSG00000180190.13	TDRP
ENSG00000253982.3	CLN8-AS1
ENSG00000253764.4	KBTBD11-AS1
ENSG00000253444.1	ENSG00000253444
ENSG00000249188.1	ENPP7P1
ENSG00000253958.2	CLDN23
ENSG00000255046.1	ENSG00000255046
