	Supplementary table 2_4: GO results of N-RNA (GO groups shown in Figure 2.2)						
	3.9E-02	90	1085	1.50	GO:0040012 regulation of locomotion	http://amigo.geneontology.org/amigo/term/GO:0040012	FGF4,SEMA5B,ARHGAP4,SEMA6A,RARRES2,CXCL12,ABI3,TACR1,XG,RAC2,DOCK10,MARVELD3,TMSB15A,PDPN,SEMA4B,FGF16,PDGFA,SIN3B,ADAM17,PTPRU,CAMSAP3,FLT1,TGFBR1,ENG,MDK,WNT5B,FN1,KDR,PODXL,GLUL,KLF4,SORL1,GRB7,IGFBP3,CCDC25,PAK1,PRKCA,F2RL1,DLC1,RET,SPINT2,TAC4,PRKX,TDGF1,PAX6,CD9,SLK,SPI1,ST6GAL1,PYCARD,EPB41L5,ITGA4,LAMA5,WDPCP,PRDM14,DRD3,UNC5D,APPL1,ACE,LDB2,CAVIN1,BCR,HMOX1,FERMT1,PRKD2,DAPK2,CDH1,SERPINB3,CTNNA2,PTPN23,EPB41L4B,CARD10,RAB11A,GATA3,HDAC5,RAB25,DOCK5,INSR,FZD4,GATA2,IFITM1,MTOR,APELA,LRP1,CHST4,ADAMTS9,PRAG1,PIK3R3,SGK3,IL6R
	3.9E-02	188	2680	1.30	GO:0050793 regulation of developmental process	http://amigo.geneontology.org/amigo/term/GO:0050793	TNMD,CDKL5,NEDD4L,NEDD4,BRINP1,SEMA5B,SEMA6A,EZR,TRIOBP,FLT1,HPN,GATA3,WWC1,PLEKHB2,SLITRK3,KDR,RAC2,CNMD,ZFHX2,RHOF,FAM171A1,PAK1,PDPN,HEYL,SLITRK5,RBPMS2,CDH2,HES3,ULK1,GATA2,FMNL1,SEMA4B,FANCA,SMARCE1,BCL7C,NFKB1,BICRAL,NR1H2,MBIP,TADA3,GAL,NFATC3,GRHL2,HMOX1,MMD,ZBTB16,MDK,RASAL1,TNFSF11,PRXL2A,CPNE5,WNT1,UNC13A,COL4A2,GLUL,KLF4,ANP32B,PIM1,SORL1,SYT2,CPNE9,IGFBP3,FBN1,LRG1,PRKX,GDF3,BLOC1S5,TRIM16,PAX6,JARID2,JADE2,HMG20B,ELAVL1,SPI1,TNFRSF1A,TFE3,ST6GAL1,RAP1GAP,PSEN1,LRP2,DDHD2,TXLNG,LAG3,ARHGAP4,UNC13D,YY1,FERMT1,COBL,GHRHR,TGFBR1,ENG,CXCL12,CTSC,TENT5A,MAN2A1,FN1,RGS2,STK11,SFRP5,ZNF706,NEUROG3,RAB17,C3,ID1,INO80,GDPD2,LAMA5,WASF3,TPT1,ANKRD6,EPHA7,CDK5RAP2,ERBB2,CD53,CTSK,LIMD1,BOC,PRDM14,ADM,FOXO1,ABCA5,EPHB1,NPTN,ACE,OMA1,CAPN2,LRRTM1,CDS1,ADAMTS9,UCMA,STOX1,RET,INSR,DLK2,FZD4,SCUBE2,KDF1,TRIM72,GPC6,SOCS3,PBX1,RTN4RL1,BCR,FOXE3,CARD11,MTOR,PRKD2,LMO3,SERPINB3,PKP2,CDH3,CASP8,MARK2,MACROH2A2,OLFM2,HDAC5,NANOG,MYB,FAM210B,CNTN4,DOCK5,PRKCA,DLC1,TMIGD2,BCOR,IFITM1,BCL9L,SMOC1,APELA,CD24,ESRP1,RARRES2,ABI3,WNT5B,CEMIP2,WDPCP,DRD3,FGD5,NFKBID,SPRY3,ZEB2,NACA,PDGFA,PRAG1,NRCAM,FADS1,IL6R,MAPK12
	4.1E-02	133	1806	1.37	GO:0048870 cell motility	http://amigo.geneontology.org/amigo/term/GO:0048870	LAMC3,CTNNA2,FGF4,SEMA5B,PXN,ARHGAP4,SEMA6A,FLT1,ELMO3,RHOV,FSCN3,ENG,ATRNL1,CXCL12,ABI3,WWC1,ITGA4,TACR1,XG,USP9X,KDR,RAC2,PODXL,LAMA5,NAV1,DOCK10,ARHGAP24,RHOF,MARVELD3,DOCK5,TMSB15A,CXCR5,PDPN,ARPC5,CXCL5,MST1R,GPC6,FMNL1,SEMA4B,FGF16,LAMB3,PDGFA,BRK1,TGFBR3L,SIN3B,ADAM17,IL6R,ITGAL,PTPRU,CAMSAP3,FERMT1,TGFBR1,GATA3,MDK,WNT5B,FN1,TNFSF11,GLUL,KLF4,SORL1,GRB7,IGFBP3,CCDC25,PAK1,PRKCA,EPHB1,F2RL1,DLC1,RET,CENPV,SPINT2,TAC4,PRKX,TDGF1,PAX6,CD9,SLK,SPI1,PSEN1,HSD3B7,PYCARD,EPB41L5,IFT81,WDPCP,PRDM14,UNC5D,APPL1,ACE,SUN1,LDB2,CDH2,LRG1,CSPG4,CAVIN1,PLEC,GATA2,BCR,HMOX1,PRKD2,PIK3R3,DAPK2,CDH1,SERPINB3,PTPN23,EPB41L4B,CARD10,RAB11A,RARRES2,HDAC5,ARHGEF16,RAB25,LIMD1,INSR,FZD4,IFITM1,MTOR,APELA,PRAG1,CDKL5,MARK2,LRP1,CHST4,JMY,AUTS2,ADAMTS9,ZEB2,CD24,NRCAM,DGKZ,IGSF8,SGK3,ID1,LCK
	4.1E-02	133	1806	1.37	GO:0051674 localization of cell	http://amigo.geneontology.org/amigo/term/GO:0051674	LAMC3,CTNNA2,FGF4,SEMA5B,PXN,ARHGAP4,SEMA6A,FLT1,ELMO3,RHOV,FSCN3,ENG,ATRNL1,CXCL12,ABI3,WWC1,ITGA4,TACR1,XG,USP9X,KDR,RAC2,PODXL,LAMA5,NAV1,DOCK10,ARHGAP24,RHOF,MARVELD3,DOCK5,TMSB15A,CXCR5,PDPN,ARPC5,CXCL5,MST1R,GPC6,FMNL1,SEMA4B,FGF16,LAMB3,PDGFA,BRK1,TGFBR3L,SIN3B,ADAM17,IL6R,ITGAL,PTPRU,CAMSAP3,FERMT1,TGFBR1,GATA3,MDK,WNT5B,FN1,TNFSF11,GLUL,KLF4,SORL1,GRB7,IGFBP3,CCDC25,PAK1,PRKCA,EPHB1,F2RL1,DLC1,RET,CENPV,SPINT2,TAC4,PRKX,TDGF1,PAX6,CD9,SLK,SPI1,PSEN1,HSD3B7,PYCARD,EPB41L5,IFT81,WDPCP,PRDM14,UNC5D,APPL1,ACE,SUN1,LDB2,CDH2,LRG1,CSPG4,CAVIN1,PLEC,GATA2,BCR,HMOX1,PRKD2,PIK3R3,DAPK2,CDH1,SERPINB3,PTPN23,EPB41L4B,CARD10,RAB11A,RARRES2,HDAC5,ARHGEF16,RAB25,LIMD1,INSR,FZD4,IFITM1,MTOR,APELA,PRAG1,CDKL5,MARK2,LRP1,CHST4,JMY,AUTS2,ADAMTS9,ZEB2,CD24,NRCAM,DGKZ,IGSF8,SGK3,ID1,LCK
	4.1E-02	162	2254	1.33	GO:0006928 movement of cell or subcellular component	http://amigo.geneontology.org/amigo/term/GO:0006928	LAMC3,CTNNA2,FGF4,SEMA5B,PXN,ARHGAP4,NRCAM,SEMA6A,IFT52,FLT1,ELMO3,RHOV,FSCN3,ENG,ATRNL1,CXCL12,UNC5B,ABI3,WWC1,ITGA4,TACR1,STK11,IFT81,XG,USP9X,VASP,KDR,RAC2,PODXL,MYO5C,LAMA5,NAV1,BICDL1,EPHA7,DOCK10,ARHGAP24,RHOF,MARVELD3,RHOT2,CNTN4,BOC,DOCK5,EPHB1,NPTN,UNC5D,MYO1E,TMSB15A,CXCR5,BICDL2,PDPN,ARPC5,CXCL5,MST1R,KIFC2,MYO1D,GPC6,FMNL1,SEMA4B,FGF16,LAMB3,PDGFA,BRK1,TGFBR3L,SIN3B,WDPCP,ADAM17,IL6R,ITGAL,PTPRU,CAMSAP3,FERMT1,TGFBR1,GATA3,MDK,WNT5B,FN1,TNNT2,TNFSF11,GLUL,KLF4,SORL1,GRB7,IGFBP3,CCDC25,PAK1,PRKCA,F2RL1,DLC1,RET,CENPV,SPINT2,TAC4,PRKX,TDGF1,PAX6,CD9,SLK,SPI1,KCNN2,PSEN1,HSD3B7,PYCARD,EPB41L5,LHX4,FRMD6,ERBB2,PRDM14,APPL1,CFAP298,ACE,SUN1,LDB2,CDH2,LRG1,CSPG4,CAVIN1,PLEC,GATA2,BCR,BLOC1S5,HMOX1,PRKD2,PIK3R3,DAPK2,CDH1,MAP4,SERPINB3,PKP2,PTPN23,EPB41L4B,CARD10,RAB11A,RARRES2,HDAC5,ARHGEF16,RAB25,HCN4,LIMD1,INSR,FZD4,IFITM1,MTOR,APELA,PRAG1,CDKL5,OFD1,NEDD4L,MARK2,LRP1,CHST4,JMY,AUTS2,ADAMTS9,ZEB2,CD24,DGKZ,IGSF8,SGK3,ID1,UXT,LCK,MYL6B
	4.2E-02	82	977	1.52	GO:0030334 regulation of cell migration	http://amigo.geneontology.org/amigo/term/GO:0030334	FGF4,SEMA5B,ARHGAP4,SEMA6A,CXCL12,ABI3,XG,RAC2,DOCK10,MARVELD3,TMSB15A,PDPN,SEMA4B,FGF16,PDGFA,SIN3B,ADAM17,PTPRU,CAMSAP3,FLT1,TGFBR1,ENG,MDK,WNT5B,FN1,KDR,PODXL,GLUL,KLF4,SORL1,GRB7,IGFBP3,PAK1,PRKCA,F2RL1,DLC1,RET,PRKX,TDGF1,PAX6,CD9,SLK,SPI1,PYCARD,EPB41L5,ITGA4,TACR1,LAMA5,WDPCP,UNC5D,APPL1,ACE,LDB2,BCR,HMOX1,FERMT1,PRKD2,DAPK2,CDH1,SERPINB3,CTNNA2,PTPN23,EPB41L4B,CARD10,RAB11A,RARRES2,GATA3,HDAC5,RAB25,DOCK5,INSR,FZD4,GATA2,IFITM1,MTOR,APELA,LRP1,CHST4,ADAMTS9,PIK3R3,SGK3,IL6R
	4.5E-02	91	1071	1.48	GO:0000902 cell morphogenesis	http://amigo.geneontology.org/amigo/term/GO:0000902	CDKL5,NEDD4L,LAMC3,NEDD4,SEMA5B,PXN,NRCAM,SEMA6A,EZR,TRIOBP,HPN,ATRNL1,CXCL12,UNC5B,SLITRK3,VASP,RAC2,LAMA5,EPHA7,DOCK10,RHOF,CNTN4,BOC,FAM171A1,PAK1,EPHB1,NPTN,UNC5D,PDPN,SLITRK5,CDH2,ULK1,FMNL1,SEMA4B,LAMB3,RASAL1,FN1,CPNE5,KDR,UNC13A,SYT2,CPNE9,TNMD,PAX6,JADE2,SPI1,ST6GAL1,PSEN1,LRP2,GRHL2,ARHGAP4,UNC13D,COBL,GATA3,MDK,EPB41L5,ITGA4,STK11,LHX4,NEUROG3,ID1,RAB25,FRMD6,ERBB2,WDPCP,PRDM14,ST14,ADCY1,RET,SPINT2,CNP,UGT8,FZD4,PLEC,MARK2,ITGA8,USP9X,WASF3,LIMD1,DOCK5,NBEAL2,DLC1,BCL9L,CTNNA2,ABI3,ANO1,ANK3,FGD5,AUTS2,SPRY3,PRAG1
	4.7E-02	46	446	1.77	GO:0001667 ameboidal-type cell migration	http://amigo.geneontology.org/amigo/term/GO:0001667	SEMA5B,PXN,SEMA6A,MARVELD3,SEMA4B,FGF16,FGF4,FERMT1,FN1,KDR,GLUL,KLF4,ADAM17,PRKCA,CENPV,TDGF1,ARHGAP4,TGFBR1,EPB41L5,TACR1,LAMA5,WDPCP,APPL1,RET,CDH2,LRG1,PLEC,HMOX1,PRKD2,PIK3R3,PTPN23,EPB41L4B,CARD10,RAB11A,GATA3,HDAC5,ITGA4,RAB25,DOCK5,GATA2,PRKX,MTOR,APELA,ADAMTS9,ZEB2,ID1
							
							
