Supplementary table 2_3: Pearson correlation results of N-RNA			
AC006059.3	AC016949.1	LRRN4	RAB11FIP3
AC111200.2	AC079416.2	TTC28-AS1	MIR4697
SLC25A23	AC024267.5	PNKD	AC093525.9
BAIAP2-DT	AC084398.2	STK33	FOXC2-AS1
CCN2	RPL26P35	AC010240.3	AL138900.2
TRAPPC1	CYTOR	DAP	AL157938.3
SOX9-AS1	GRIK2	AL390774.1	AL162726.3
EFEMP2	BPIFB3	AC145207.3	AC011306.1
ZMAT5	AL033379.1	AP001024.1	NUMA1
DNALI1	AC131212.3	AC024558.2	LINC01134
INO80B	AC016026.2	CATIP	CCNK
POLR2G	MIR1909	AL157813.1	AC254629.1
HTATSF1	CYP51A1P3	PIGA	DPH1
AC008429.2	AOC2	IPO9	SULT1C2
Z68323.1	GRM7-AS2	LARP6	ATG2B
FKBP9	RNU6-26P	RPSA	FMNL2
SGCB	AC004470.2	PRXL2AP1	AC105345.1
DCTN3	PPIAP71	C5orf34-AS1	ATOH1
AP000344.1	SNORA5B	GIMAP4	MTOR
AL138966.2	CSPG4	AL035587.2	MT-ND4
AC087521.1	AC080129.2	NAP1L1P1	TRAPPC12
SYCE1L	HMOX1	GATC	OR52A1
AC018630.2	C8orf74	RPL7AP66	MSMP
FAM3D-AS1	GMCL1	ITGA4	ARFGEF3
AC012462.3	AL445250.1	ARL4C	AC011453.1
GSTA1	RAD51-AS1	CALM2P2	PSMG4
AC008267.5	WDR11	CLCN5	CARD11
FBXO4	STEAP1	AL035078.4	KCNK18
KCNC1	AC083899.1	AC004466.3	CTSA
MRPL37P1	TTC19	AC007405.5	FAM157C
TUBA3FP	OR7E5P	HDGFL2	AC022001.2
DENND6A-AS1	CFD	FAM166A	TFAP2E
LUC7L2	AC107464.1	AL603832.1	BNIP3P22
C2orf81	TLR8	TSPYL2	CCR8
PICALM	MTFR2	ZNF83	RECK
AC005832.2	LPP	TRIT1	PRR12
ACTR8	ZNF134	AL356094.1	BTBD11
RPS24	TYSND1	OSMR-AS1	CHPF
SEMA4F	AL391666.1	HAUS8	FMR1-IT1
AC072061.1	NRBF2P3	AC009238.1	AL353699.1
AC093899.2	AL671277.1	TPI1P3	FBXL5
FOXN3-AS1	SNORD96A	CRYZ	CLNS1AP1
GSTM2	ZMYM1	AICDA	AL109614.1
HSD17B11	OR2A14	NACA4P	AC010761.4
GALC	SMG1P1	FADS1	TTC27
LRRC4B	LYPLAL1	AC125612.1	MRGPRG
CLVS1	FAM91A1	AC016712.1	LINC02805
AL359091.1	RPL23AP77	TBC1D22A	TCL6
NPR2	AC025287.4	BTF3P12	AC106895.2
SRGAP3-AS3	AC020915.2	MACROH2A2	HTR1A
AC080013.1	AC027801.5	AL162231.5	TAT-AS1
ZNF192P1	AL138479.2	AC007490.1	AL157823.2
ELMOD3	AC130466.1	NNMT	RAB25
NKAP	AC069549.1	RFX3-AS1	AC098869.2
CCDC144NL-AS1	AC116407.4	AC005253.2	AC011611.4
LINC00888	CCZ1B	FSCN3	FCHSD1
LEMD1	TERT	AL136116.3	KATNAL2
MTERF2	AP001033.3	AC022098.3	AL132712.2
ST6GAL2-IT1	KPNA2P3	CCR1	SCNN1D
MAP3K7	SP4	AC009506.3	C6orf132
HDHD5-AS1	PSME4	RPS20	AC009549.1
AL390955.1	CALML6	TSPAN18	PLCL2-AS1
RADX	LTB4R	ARPC4-TTLL3	NPTN
TBC1D9B	GRK3	DLC1	DPPA2P2
WDR86	ZNF717	AP001528.2	ODF3L2
AC007552.2	TRPM2	AC027031.2	ASB14
AC073957.1	CRYGN	RPL21P67	AP003108.5
AC090409.1	GUCA1A	UBA52P5	LINC00346
GLB1L2	GGT2	H3C9P	ANKRD63
AKR1B1P2	AL357093.2	AC005480.2	SNORA51
UGT2B7	AC074212.1	AC011603.3	CEL
AC005842.1	GPR18	CHCHD5	TGIF2P1
UXT	AC009533.5	AC010395.2	TUT1
LINC01031	POU2F1	ARG2	FBXO24
ZNF211	AC004817.3	AC092171.1	AC016825.1
RIMBP3C	AC114546.3	PSMC1P9	AL133492.1
CBX8	KRTAP5-3	IL1A	AC027801.2
DGKG	AC005336.3	AC073063.1	STYK1
AL160394.2	PCDH11Y	PGLS	AC020658.7
CNNM1	AL929472.1	AC004012.1	MGAT4C
BMS1P10	BMPR1A	S100A13	AP004606.1
C11orf91	AC099499.1	IQCH-AS1	PRR7-AS1
S100A10	CAPN15	AC112491.1	AC069120.1
RPL6P12	AC022137.4	KCNV1	SLC25A35
TTC36	AL359885.1	AC092431.2	COPS7A
ZFPL1	AL513314.2	SNORD49B	AL049812.2
WDR13	RBM41	SEPTIN8	PTPRU
MDGA1	SLC16A6P1	HNRNPA1P36	MIR4683
EIF4HP1	UPF1	AL603839.1	AC080075.1
AC097641.2	AP001970.1	AC010904.2	AC008105.3
AC110716.2	AC007535.1	MRPL53	KCNN4
TINF2	METTL14	RPL3P10	INSR
LGI2	AC027237.1	PAK4	ULK4
FAM217B	APOL6	AC080112.2	ETFDH
CCDC167	DOCK9	RAD9B	USP44
AC034102.8	AC093159.2	TUBBP2	TMCO6
EPHB3	DUS2	BUD13	FARSA
AC108025.1	FIGNL2-DT	RPL5P28	GNAS-AS1
OXR1	PPP2CB	HSBP1	SLC39A11
NHLH1	PDE7A	ACTR3	LINGO4
WDR82P2	AC023906.3	FAM189B	C17orf107
AL021707.5	AL022316.1	GPR162	C2CD4D-AS1
TMEM150C	ACTRT3	MIR611	GATA2-AS1
XAB2	AC116562.3	OGFOD3	MYB-AS1
SNRNP27	INTS6	AC034193.1	SPATA25
NACA	ARL17B	PCBP2	AP006621.2
CHCHD5	SMG1	EED	CARD10
WDR34	SCN8A	RPL24P8	PHF21B
ZNF136	AL096678.1	LDHAP5	PCOLCE
C6orf118	RPL29P23	SGO1-AS1	SDAD1P1
TTC3P1	TXNDC16	CNRIP1	AL022318.2
PMS2P3	CHRM1	OLA1P1	LINC01191
AL662797.2	TGM3	AL354811.1	IGSF9B
TNFRSF10B	DDX53	AC079610.1	MIR3196
ZSCAN2	ZNF578	RPL35	AL358613.3
SPATA31C2	AP000769.3	AC234778.1	LARP7
AC008758.6	MMP21	CKAP4	LYPD2
PEAR1	KPNA6	AC084757.3	PARM1
CDYL2	RN7SL118P	KMO	AC010624.2
FP236383.3	AC024560.3	DEPDC4	ZAN
AC008741.1	AC009950.1	LINC02768	CPNE7
SCOC-AS1	CCDC150	LINC02340	NPBWR1
AKAP3	TGIF1P1	WNT6	AC009052.1
RBM15B	MME	ENY2	RIPK4
AC012615.5	CRTC2	LSM4	RCC2P6
ADAM11	LINC01432	NACAP8	ABI3
MYO1B	OSR2	RPS7P3	AKNA
BTN2A3P	PRR7-AS1	FAU	ACRBP
MMEL1	AL391827.2	TSPAN31	MYO1E
AC110716.1	TMEM233	HMGN3-AS1	AP005019.1
LYRM9	FNIP1	SAR1AP4	PWAR5
LINC01584	AC097637.2	CRPPA	AC027801.1
P4HA2	NID2	AC010618.2	RHOF
TSPAN19	AC011446.2	MEX3A	SLC4A1
SIAH2	AC108865.1	ALDH1A3	POU5F1P6
CYP2T1P	AC004771.4	SHPK	AC006539.2
FOXP2	USO1	PDLIM7	WRAP73
AC069444.1	SOCS2-AS1	EEF1A1P10	FBH1
RPL5P17	SOCS2	AC007387.2	AL117329.1
BCL2L13	SNORD116-18	COL11A1	USP48
AC129492.7	RNU6-701P	WTIP	MATN1
MTMR4	CYP2D6	SNHG19	SLC2A9
AL138960.1	HMGB3	LINC01684	TGFBR3L
AP001830.1	KRT18P55	NPAP1P3	TIAM2
FDPSP1	ITGAD	AC024940.3	AC073964.1
COA6-AS1	STPG3	RPL7P52	AP006289.1
NIM1K	AC011447.6	EIF4H	H2BC12
BAALC	ADCY4	AC092045.1	LINC01311
RNFT1	IL4R	TVP23A	ATP2A1
RGMA	SGSM1	GAPDHP76	F2
AC243547.3	GRIN2A	HOXD1	AC100793.1
AC140076.1	KLK14	AL512590.3	AP000438.1
TLK2P1	SLC35F2	TPT1P12	HMCN2
AC002094.3	HBG2	RPL7P25	BSN-DT
ATP9B	AC008649.1	POC1B	RNU6-1208P
CEP83-DT	CALCA	SEMA3A	EHMT1
PLOD2	ALCAM	AL359844.1	CHST6
HCG17	ZNF350	SRSF9	NIBAN2
STX8	PRR35	RPL7AP31	AL355490.2
FAM225B	SLC35E3	AC007435.1	INPP5K
KLHDC8B	XCL1	HSPD1P6	BCL2L10
SYS1	AC119044.1	AL122020.1	TFB2M
RPL10	AL353804.1	TNNI3K	GGT2
RPS3AP25	MIA3	ANKRD20A11P	MST1R
MIR4648	AC117473.1	HNRNPA1P48	LINC01060
PSKH1	AC011815.1	WDR38	PITRM1-AS1
ACVR1	LINC02263	TRIR	AFAP1L1
LINC01054	WDR92	AC007182.2	LINC02370
KAT5	AC022274.1	AC015795.1	ADAM22
SLC35D1	TRPC2	DKK1	SNORD116-22
TBCA	AC090282.1	AC092805.1	AC034187.1
GNB1	AC009634.1	FAM92A	AC233280.19
AC018659.3	FGF6	GYG1	TTC31
AL139246.2	AC113391.1	BTRC	AP000563.1
OTOP1	CTAGE15	AC084018.4	ZBED6CL
C16orf95	AC073957.3	AL162385.2	ATF7-NPFF
AC006130.1	ZBTB46	GSTM5P1	LDHD
AC006064.6	NFKBIA	ST13	AC106864.1
RP1L1	AHR	FAM171A1	AC018761.3
MAFG-DT	AL390783.1	UBC	AC093904.4
NSA2	AC074141.1	MYLK-AS1	MT-ND5
AL691515.1	Z84468.2	AL021026.1	AL356057.1
AL627230.1	H2BC4	TSPAN11	CARD6
IFT20	AL162586.1	LMNB1	AC004918.5
DTD1	MIR3682	XPNPEP1	MAFK
CDPF1	CHCHD7	PCBP2P3	NAPSB
BMF	EFEMP1	WASF1	AL021707.6
FAM228B	SGO1	STK24P1	SNORD36C
AC005908.3	AJ011931.2	AL513478.4	OR2A1-AS1
DYRK1B	SMC6	AC006112.1	HNF1A
TUBBP2	BNIP3P17	PRDX3P3	AL449105.2
LINC01783	IMPDH1P10	NAP1L1P3	TAF6
KIAA1328	PTPN22	PRKG1-AS1	AL136526.1
C16orf82	AL158141.1	AL160270.2	RASEF
ZDBF2	AC067852.1	NXPH2	CTRB2
KIRREL2	MLLT10	FO393411.1	ST6GAL1
EEF1G	SEMA6A-AS2	B3GAT3	FGF12-AS3
AC011445.1	LINC01278	NEIL3	AC003102.1
EPHA6	DPP6	EXOC1	SLC11A1
BCAS3	RN7SL614P	AC009779.2	DYNAP
AC130456.5	KLK2	NIFK-AS1	C3
PLPP7	AC026461.1	ZDHHC19	AC016737.2
VWCE	TEC	ZCCHC8	SNORA74D
INIP	TRIM14	RAB32	TRIOBP
GPR162	POLE2	TMEM179B	C17orf102
AP000802.1	AC111170.2	ARPC3	PLIN4
H1-9	ROR1	ABCC6	KCND1
RPL17P50	MIR4653	TMEM60	CLDN7
AC129510.1	AC100861.1	VDAC3	SERPINA1
TTYH1	AC090018.2	AL732314.8	UBE2Q2
NCALD	DTX2	AC010476.1	B3GALT1
SPATA21	ESCO1	AC110813.1	ARAP3
ZNF497	STX16-NPEPL1	H2AZ1	PHOX2A
DRG2	DCUN1D1	COX7A2P1	AC007448.4
MAFTRR	OR7E115P	TPI1P4	PAK1
RPL10P3	AL109914.1	AL162258.1	GPR139
RAG2	CHAC1	AL080243.4	JMJD7
AC068491.1	SLC12A9-AS1	RPS2P5	ZNRD1ASP
SPRED2	AMMECR1	KXD1	AC010327.7
RPL13P12	AC068831.2	LBR	EAF2
AC133435.1	LINC00681	ORAI2	AC008870.6
DYNC1I2	BEND6	PON2	C15orf56
AL365366.1	TNFAIP8	PDGFRL	AL669918.1
AC026254.2	AC078778.1	MPND	PCDHAC2
PIK3IP1	AL365259.1	PLPBP	ECE2
MYCLP2	AL031600.1	RPL10P6	RNF213
MAOB	AC010463.3	AL078612.2	CHN1
LINC01447	AC007728.3	QARS1	AC048344.1
NKAIN4	ZAR1	NACAP2	KIAA0895LP1
FAM168B	AC004975.1	RPS7	AC007494.2
PHPT1	OR56B4	AL121936.1	LINC01224
RN7SL268P	AL354797.1	HMGN3P1	CYP4F8
FAM209A	SLC34A2	RBM34	HLA-DQB2
AC138207.2	AC025750.2	IKZF1	GOLGA3
RXRG	LINC01585	AL096700.1	AJ011931.2
AC008946.1	KIT	YWHAEP5	PLEKHD1
AC135050.2	MIR600	AC005045.1	PNMT
CCL27	PDSS2	SOCS3	AC083805.3
HIP1	GSPT1	HSPA13	PRR5-ARHGAP8
ERGIC1	LINC02076	SNHG9	AL731563.4
AC068700.2	AL355433.1	AL662884.1	RSKR
AC091982.2	KLK1	COPRS	AC010503.5
ZNF410	AANAT	AL162393.1	EBLN3P
RPL32	SAP25	AGBL1	MIER2
TVP23A	AC091133.6	AC104260.3	KLF4
FRYL	AP001042.1	RAD51C	HPAT5
AC087284.2	MTHFD2P5	TGOLN2	AC012150.1
AP002990.1	AL023755.1	RPL29	AL121578.2
LIPC	AC104237.1	AP000553.1	CACNA2D2
LPP-AS2	RN7SL34P	SNRPD2	MIR215
H3-3A	AC004951.1	AC006509.1	KLF1
CANT1	AC005336.1	RPL24P2	UPK3B
CDKN2AIP	AC007494.2	UBA52	CSF3
CFAP44	LRIG2	RPS15P5	GAS6
HMGCS1	SLC7A10	TNFAIP3	PSMD10P1
FOXP4-AS1	ALS2	RPL10A	B3GALT5
LINC01184	AC138932.3	SYTL2	AC003077.1
GPKOW	ADAR	HEG1	ARHGAP9
LDB1	AP003392.2	AC008033.1	PCDHA9
KLHL20	AC008760.1	Z82206.1	CXCL5
CERKL	AL356413.1	AL390058.1	WDFY3-AS1
CYB5R1	KDM2B	CSK	MPO
ADGRL3	CENPUP2	SPC24	SCN8A
EIF3F	RNU6-759P	OTULINL	KCNN2
MACROH2A1	RFX1	AL592148.1	OSBPL10
AP003352.1	AF131216.3	SNORA78	BIK
AGGF1	AC008895.1	ADH5P4	AC011899.1
AC010533.1	AC104134.1	RPL22P4	AC010735.1
ADGRA2	FAM241B	THEGL	C10orf91
PPARD	AC016586.1	BTF3	CHST2
RPS4XP6	LINC00102	AC073115.1	ATP2C2
C5orf24	BRAF	TLK2P1	PPL
AC079793.1	AL590705.2	CTNNA2	ANKRD20A1
ASCC1	AL157366.1	MAPK14	GAS2L2
TMEM262	AC111170.3	AC006122.1	POM121L9P
AKAP13	MIR5587	LRP2	POLRMTP1
ANTKMT	NLRP6	COA6-AS1	SMAD7
AL359317.1	APCDD1L-DT	HLA-DMB	RCC2P7
AC026316.4	RBMXL1	AC092641.1	QSER1
C11orf1	FTL	AC091685.2	PTPRF
TUBBP1	UPK3A	AC110285.1	PAGE4
LINC02572	PERM1	CTSH	C1orf127
AL158847.1	EBI3	RAD51D	EI24P2
DEGS2	SERPINB4	SPOCK1	DHDDS-AS1
AL845472.2	AC100861.2	AL031727.1	AC096751.2
AC068057.2	PNN	PPIE	AF111168.1
CEP57L1	AL161733.1	SLC2A1	MTMR8
TRAM1L1	N4BP2L2-IT2	ACTBP13	RNF31
CFAP36	RPS29P17	STIMATE	AC138430.1
AC009480.1	LRRC34	RPS4XP1	HRC
AC008808.1	ESX1	AC008946.1	AD000864.1
ABCB10	ZFAND4	AC126615.1	AC108051.1
AC140118.2	RMI2	CCDC192	FGFR2
SEMA7A	FAM83C	MFF	TMEM184A
LAPTM5	TRIP10	PPIAP33	AL390719.2
TMEM132A	BMP7-AS1	HACD3	AC104306.2
EIF3LP1	AL592078.2	TPI1P1	AL359881.3
NARF	CNKSR2	RDH10-AS1	AC109583.1
KIF19	CYP2B7P	CDK5RAP2	C10orf105
IDNK	AC120114.4	AL691477.1	LRGUK
ITPKC	PPTC7	AL161740.1	SNURF
RNASEL	AC009404.1	FUT5	SCARA5
WFDC3	CYP27B1	AL442644.2	AL136162.1
AL049873.2	UBP1	HNRNPA1P12	KRT8P9
MED8	EIF2AK4	RPS7P4	TEAD3
BBS5	PCP2	ELMOD2	NCR1
ZNF532	AQR	TTC19	AC112206.3
APLP1	AL442003.1	RHOQP1	CDK6
MAP3K8	AL359715.3	TUBBP1	MIR302A
PPP1R36	AC016716.1	UBL7-AS1	SNRPN
KDM4E	KRTDAP	MED22	AL135999.2
FER1L4	NR0B1	RPLP0P6	UBE3B
TP53I13	AC021105.1	RPS19P7	ARHGAP18
DDX31	KCNE3	SLC12A7	ZFP92
AMFR	S100A11	FLOT2	AC009948.3
AP000942.2	AC107068.1	AC092587.1	RAI2
AC245884.1	ACSM2B	ID3	LINC00545
ZSWIM3	AC005329.1	RPL21P44	MICAL2
ZNF420	SLC39A2	HNRNPA1	AC008750.3
PMM1	TMPRSS11F	AC095041.1	BTNL2
POFUT1	INO80	COMMD6	PPM1J
CEP41	UACA	AC009652.1	ATP6V1C1
KLHL22	ELOCP31	AC098614.1	ART2P
COG1	AP000357.2	PARVB	AC020661.3
Z99289.1	ATP5PDP1	FIGNL1	CLDN34
PRXL2B	LY6E	AC125618.2	AL353708.3
AC083862.3	TGIF1	AC073896.5	GAPVD1
ANKUB1	AC078795.2	INO80C	LHX4
SMOX	UNC93A	AC112187.3	ARHGAP4
TTC26	AC011853.1	RPL19P16	AL355102.3
AC138207.6	RN7SKP9	MIR4641	CFAP298
NEURL3	AC015909.1	RPL5P9	LINC02520
MAP4	ATP4A	DMGDH	SSTR1
AC025459.1	MIR221	SUMO2P8	AC121320.1
RPL37	LINC00598	LPP-AS2	THEG
IAPP	AC109460.4	LINC00648	HERC6
DHX32	ANK3	USP3	RN7SKP101
PHETA1	VN1R82P	AC246787.1	MLXIPL
ABHD14A	KBTBD8	SCPEP1	DNAH17
LINC00346	CYP4F8	AC007848.2	TCF7L1
AC245297.2	FTCD-AS1	NKIRAS1	BIRC6
ARHGEF25	ZNF770	STAU1	ACVR2B-AS1
FDXACB1	TXLNGY	AL355472.2	FXYD5
PRSS56	FXYD1	CDC27	SHB
RNU6-398P	AC138409.2	AC073333.1	LINC00598
AC002985.1	RPL12P25	HMGN2P32	PWAR1
AC118553.2	FBXO39	ZSWIM7	PKNOX1
AL358933.1	AC019097.1	MRRF	CCDC85C
ITGB1-DT	HNRNPH1	AL157394.3	HJV
AC092803.1	AC118281.1	RPS2P7	THEM5
CPNE8	C10orf91	STK24	AC034111.1
AC232271.3	AP001107.5	AC117453.1	AC116917.1
AL662844.4	ACVR2B	LINC01960	CCT8L1P
NEUROD4	AC010332.3	AL158055.1	CDK3
RBM8A	CISTR	DGKD	RTN4IP1
LRRC17	IFNL4	EZH2P1	INO80
FARS2	NOC3L	DUSP12	ERBB3
ZEB1	CD44-AS1	HNRNPA0	H2AC21
